8 5398 25 27455 4 237 4 160 7 9255 42 54342 13 17 19 20 2702 15363 19584 22116 8 69 90 102 746 81982 109061 125308 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
5 4832 2 205 2 119 2 119 7 9486 2 277 4 14 17 19 237 14377 19091 21919 4 6 7 7 160 511 628 699 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 3 0 1 3 0 1 3 0
9 3481 29 31584 4 237 4 160 11 4169 37 45781 14 23 25 27 8380 8624 8706 8755 47 75 84 90 40002 86657 102209 111540 1 2 0 1 2 0 1 2 0 1 2 0 2 1 0 2 1 0 2 1 0 2 1 0
18 4852 74 87701 18 6302 47 40002 10 3743 80 101024 29 29 29 29 8380 8624 8706 8755 94 170 196 211 117761 210258 241090 259590 1 1 0 1 1 0 1 1 0 1 1 0 1 4 0 1 4 0 1 4 0 1 4 0
21 4404 95 113246 18 3780 69 77213 6 2844 74 95679 29 29 29 29 6302 7793 8290 8589 129 184 203 214 168269 230461 251192 263630 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
12 1813 92 120362 15 1829 69 77213 5 1224 66 91591 17 17 17 17 2362 3212 3496 3666 129 172 186 195 168269 231025 251944 264495 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
6 1123 84 111300 5 1123 69 77213 5 890 65 90222 7 13 14 16 1829 2148 2255 2319 95 158 179 192 129013 215323 244092 261355 1 1 0 1 1 0 0 0 0 0 0 0 1 4 0 1 4 0 1 5 0 1 5 0
1 293 30 41570 1 40 2 2770 1 430 38 52125 2 3 4 4 305 795 959 1057 54 78 86 91 74643 107265 118138 124663 1 2 0 1 2 0 1 1 0 1 1 0 2 1 0 2 1 0 2 2 1 2 2 1
0 38 5 6241 1 40 2 1425 0 40 7 9712 1 1 1 1 40 83 97 106 2 12 16 18 2770 16460 21023 23761 1 2 0 1 2 0 1 1 0 1 1 0 1 3 0 1 3 0 2 2 1 2 2 1
2 110 6 6021 1 40 2 1425 1 108 7 9799 2 3 4 4 112 236 277 302 5 14 16 18 1630 16004 20795 23670 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
2 118 2 642 1 40 2 119 1 119 1 726 3 4 4 4 192 268 293 308 2 3 4 4 1425 1548 1589 1613 1 1 0 1 1 0 1 1 0 1 1 0 1 4 0 1 4 0 1 4 0 1 4 0
1 102 1 349 0 0 0 0 2 131 1 641 3 4 4 4 192 268 293 308 2 3 4 4 119 1025 1327 1509 1 3 0 1 3 0 1 3 0 1 3 0 1 2 0 1 2 0 1 2 0 1 2 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0
0 16 0 16 0 0 0 0 0 32 0 32 0 1 1 1 0 48 63 73 0 1 1 1 0 48 63 73 2 2 1 2 2 1 2 2 1 2 2 1 1 1 0 1 1 0 1 1 0 1 1 0
1 314 1 440 1 40 1 40 0 569 1 822 2 2 2 2 80 903 1178 1343 2 2 2 2 80 1282 1683 1923 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0
23 6570 67 66481 2 1453 3 2084 28 7471 80 80661 50 59 62 63 14896 15835 16148 16335 163 167 168 169 158703 166428 169003 170548 1 1 0 1 1 0 1 1 0 1 1 0 1 4 0 1 4 0 1 4 0 1 4 0
64 29572 97 82064 65 16461 90 39510 37 25112 62 69277 100 102 103 103 43164 60397 66141 69588 163 167 168 169 158703 166428 169003 170548 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
